model,config,mean_acc,std_acc,mean_f1,std_f1,mean_recall,std_recall,mean_precision,std_precision,loss,accuracy,precision,recall,f1
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0}",0.20438444444444445,0.05283583274845038,0.1552322883597817,0.051922546437302326,0.20438444444444445,0.05283583274845037,0.33547959108907466,0.06996772864686977,2.7041068474063237,0.2564888888888889,0.40438172172878206,0.2564888888888889,0.2051384290411778
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.17934444444444445,0.02588444287049752,0.13399204495240952,0.028696307903439508,0.17934444444444445,0.025884442870497543,0.3208849559513871,0.07194077496342648,2.8612444613207035,0.20494444444444446,0.3716672206513296,0.20494444444444443,0.17082305940386763
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.3025962933500677,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.2170711111111111,0.02900231323255968,0.16239509901854116,0.034597564001302934,0.2170711111111111,0.029002313232559678,0.31410871851128397,0.06263922681038168,2.463343499014482,0.25177777777777777,0.3769106511739361,0.25177777777777777,0.2039972738818038
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0.001}",0.17753333333333332,0.036988591000435944,0.12909330309400274,0.037921913914102344,0.17753333333333332,0.036988591000435944,0.3166674256087912,0.05631926221764466,3.190014328395731,0.1781111111111111,0.36618513216451726,0.17811111111111114,0.13334788566068972
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.3025973234742807,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0}",0.22097555555555556,0.05416890787386168,0.17714939127390059,0.061913073679866155,0.22097555555555556,0.05416890787386169,0.3442396838205873,0.0545434347395146,2.2552060103590192,0.2901888888888889,0.4104634863643389,0.2901888888888889,0.26315178563632313
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0.001}",0.20166666666666666,0.037269094865568786,0.15751051570008157,0.040581373477702354,0.20166666666666666,0.03726909486556878,0.3576140549466291,0.03911407327394177,2.8280324637148246,0.23601111111111112,0.4167400498988079,0.23601111111111112,0.20018031244461137
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.30259405130006,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.20042,0.03909011226056035,0.15592531496622347,0.03971784522259969,0.20042000000000001,0.03909011226056034,0.3554382596913236,0.06829920124134596,2.598924028118056,0.2256,0.3790111786070328,0.22559999999999997,0.1907770725001489
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0.001}",0.2016777777777778,0.037472730825969365,0.16064839769262118,0.04448208813845701,0.20167777777777776,0.03747273082596936,0.33738642531171137,0.054755505043325596,2.3755621109416043,0.2564222222222222,0.38332514810882695,0.2564222222222222,0.22802318626611714
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.302591611090564,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.0001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0}",0.17258666666666667,0.02624008384132947,0.11247308998871808,0.031291116199195,0.17258666666666667,0.026240083841329483,0.15181174730627306,0.05567530265377199,2.2025305214107904,0.18454444444444446,0.21536462664394013,0.18454444444444446,0.12008840349784652
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.0001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.14249555555555557,0.03904225520327975,0.07989399043059313,0.05098763878855881,0.14249555555555557,0.039042255203279745,0.11770537208196688,0.061004775877173796,2.258333000389232,0.19116666666666668,0.17769290673079435,0.19116666666666668,0.1162718741281739
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.0001, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.3025854471269724,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.0001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.12009777777777778,0.020232145611609822,0.050639521137559686,0.030408381888582425,0.12009777777777778,0.020232145611609822,0.0765888414468676,0.057336132867431694,2.2906994161934686,0.15382222222222222,0.1615700610094547,0.15382222222222222,0.10078731105133021
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.0001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0.001}",0.14742444444444444,0.037973589262558276,0.07471990777282718,0.028014707568315585,0.14742444444444444,0.03797358926255827,0.10154028390851688,0.0396427343598539,2.2151011598521264,0.1922,0.15022597345798483,0.19219999999999998,0.10784132241904527
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.0001, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.3025853820343776,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.0001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0}",0.13968,0.03992217305251015,0.07426166024339526,0.04998816583334791,0.13968,0.039922173052510154,0.10879324409707364,0.054741603705344435,2.2789144106619816,0.19203333333333333,0.15692865686285523,0.19203333333333333,0.12948034804065567
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.0001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0.001}",0.13730222222222221,0.03164035007844286,0.07238000705847174,0.03268545450210458,0.13730222222222221,0.03164035007844287,0.08034204135846532,0.04436935798422651,2.2676356474445503,0.16705555555555557,0.1266996447969653,0.16705555555555557,0.09544781995406708
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.0001, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0.5}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.302584912740502,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.0001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.13525555555555555,0.03034105213146776,0.07314925390234062,0.037758558006605714,0.13525555555555555,0.030341052131467768,0.09217368762116752,0.045733575480963906,2.2910299070611186,0.16035555555555556,0.12553549065964964,0.16035555555555558,0.09613412858832418
SmallCNN,"{'batch_size': 32, 'learning_rate': 0.0001, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0.001}",0.13937333333333335,0.015103820953897977,0.0832515508073512,0.024306950630513982,0.13937333333333332,0.01510382095389798,0.12663543817302045,0.038112050098589416,2.278950470349054,0.1327,0.14886703640118948,0.13269999999999998,0.07002942607806817
