model,config,mean_acc,std_acc,mean_f1,std_f1,mean_recall,std_recall,mean_precision,std_precision,loss,accuracy,precision,recall,f1
SmallCNN,"{'batch_size': 128, 'learning_rate': 1e-05, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.001}",0.10126,0.0003679048701080626,0.04484500196354479,0.0012817655837263676,0.10126,0.00036790487010806476,0.03905037707355515,0.001145105791784231,2.303658982397805,0.10322222222222223,0.04187022743207057,0.10322222222222224,0.04455000483792274
SmallCNN,"{'batch_size': 128, 'learning_rate': 1e-05, 'optimizer': 'Adam', 'dropout': 0.2, 'weight_decay': 0.5}",0.06428444444444445,0.0003895588657075442,0.02760074699625568,0.0031858046594806016,0.06428444444444445,0.00038955886570754355,0.04415739653544399,0.004628083182972707,2.303073305479238,0.06433333333333334,0.0398079865702751,0.06433333333333333,0.02316612462160429
SmallCNN,"{'batch_size': 128, 'learning_rate': 1e-05, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0}",0.1,0.0,0.01818181818181818,0.0,0.1,0.0,0.01,0.0,2.302639101592588,0.1,0.01,0.1,0.01818181818181818
SmallCNN,"{'batch_size': 128, 'learning_rate': 1e-05, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0.001}",0.10421333333333334,0.00026922431805859426,0.03257493564491067,0.0003451980773964358,0.10421333333333334,0.0002692243180585899,0.02609945280747101,0.007042404612346462,2.303447814054892,0.10066666666666667,0.031231199177723927,0.10066666666666665,0.03077226972124859
SmallCNN,"{'batch_size': 128, 'learning_rate': 1e-05, 'optimizer': 'Adam', 'dropout': 0.5, 'weight_decay': 0.5}",0.09414,0.0015671434278832206,0.029599838313407185,0.00040950515614468985,0.09414,0.0015671434278832197,0.018948556602268584,0.0017618377067222448,2.303158763428809,0.10288888888888889,0.019724885328957338,0.10288888888888889,0.03245991166908383
SmallCNN,"{'batch_size': 128, 'learning_rate': 1e-05, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0}",0.09329333333333334,0.00038079361771108225,0.034808457407252344,0.0001795908819223608,0.09329333333333334,0.0003807936177110793,0.027721341872698757,0.0006931175007423659,2.3032805214465504,0.09277777777777778,0.037768870680155595,0.09277777777777776,0.03417368525499493
SmallCNN,"{'batch_size': 128, 'learning_rate': 1e-05, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0.001}",0.10696222222222222,0.0001019092121858699,0.03512491792452435,2.9051134263798667e-05,0.10696222222222222,0.00010190921218587112,0.02131732912530768,1.7592433546357977e-05,2.304584516605861,0.10488888888888889,0.02087664700306658,0.10488888888888889,0.034394288256133144
SmallCNN,"{'batch_size': 128, 'learning_rate': 1e-05, 'optimizer': 'SGD', 'dropout': 0.2, 'weight_decay': 0.5}",0.10098222222222222,0.0014236883033106732,0.030300239187678803,0.002852934361374564,0.10098222222222222,0.0014236883033106717,0.02929991755246347,0.008158283218809917,2.3041817268855134,0.09888888888888889,0.020225590075470513,0.09888888888888889,0.03321176281209002
SmallCNN,"{'batch_size': 128, 'learning_rate': 1e-05, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0}",0.09924888888888889,5.2931212700102084e-05,0.020556033806066333,1.0136377936053576e-05,0.0992488888888889,5.293121270010722e-05,0.020351269079938977,0.00011179743047523512,2.3030461459092693,0.10133333333333333,0.025910681553074487,0.10133333333333332,0.023247243110780098
SmallCNN,"{'batch_size': 128, 'learning_rate': 1e-05, 'optimizer': 'SGD', 'dropout': 0.5, 'weight_decay': 0.001}",0.09502666666666666,0.00032727679920914037,0.04195290553004056,0.0002703162571586011,0.09502666666666666,0.0003272767992091412,0.028503804267775112,0.0001478016562638141,2.3030709817375934,0.09833333333333333,0.02858655055113767,0.09833333333333333,0.0418383383347425
